# λ	f(λ)
-51.066980293307	-14.8412113828257
-51.056980293307	-14.8033146386
-51.046980293307	-14.7653861079214
-51.036980293307	-14.7274257340669
-51.026980293307	-14.6894334601768
-51.016980293307	-14.6514092292537
-51.006980293307	-14.6133529841626
-50.996980293307	-14.5752646676305
-50.986980293307	-14.5371442222455
-50.9769802933071	-14.498991590457
-50.9669802933071	-14.4608067145748
-50.9569802933071	-14.4225895367688
-50.9469802933071	-14.3843399990689
-50.9369802933071	-14.346058043364
-50.9269802933071	-14.3077436114019
-50.9169802933071	-14.2693966447891
-50.9069802933071	-14.2310170849897
-50.8969802933071	-14.1926048733258
-50.8869802933071	-14.1541599509763
-50.8769802933071	-14.1156822589769
-50.8669802933071	-14.0771717382196
-50.8569802933071	-14.0386283294522
-50.8469802933071	-14.0000519732778
-50.8369802933071	-13.9614426101546
-50.8269802933071	-13.9228001803952
-50.8169802933071	-13.8841246241661
-50.8069802933071	-13.8454158814876
-50.7969802933071	-13.806673892233
-50.7869802933071	-13.7678985961285
-50.7769802933071	-13.7290899327523
-50.7669802933071	-13.6902478415344
-50.7569802933071	-13.6513722617563
-50.7469802933071	-13.6124631325502
-50.7369802933071	-13.5735203928988
-50.7269802933071	-13.5345439816347
-50.7169802933071	-13.49553383744
-50.7069802933071	-13.4564898988459
-50.6969802933071	-13.4174121042319
-50.6869802933071	-13.3783003918258
-50.6769802933071	-13.3391546997029
-50.6669802933071	-13.2999749657859
-50.6569802933071	-13.2607611278436
-50.6469802933071	-13.2215131234916
-50.6369802933071	-13.1822308901909
-50.6269802933071	-13.1429143652477
-50.6169802933071	-13.103563485813
-50.6069802933071	-13.0641781888822
-50.5969802933071	-13.0247584112943
-50.5869802933071	-12.9853040897317
-50.5769802933071	-12.9458151607195
-50.5669802933071	-12.9062915606252
-50.5569802933071	-12.8667332256581
-50.5469802933071	-12.8271400918689
-50.5369802933071	-12.7875120951491
-50.5269802933071	-12.7478491712304
-50.5169802933071	-12.7081512556844
-50.5069802933071	-12.6684182839222
-50.4969802933071	-12.6286501911936
-50.4869802933071	-12.5888469125867
-50.4769802933072	-12.5490083830275
-50.4669802933072	-12.5091345372792
-50.4569802933072	-12.4692253099419
-50.4469802933072	-12.4292806354519
-50.4369802933072	-12.3893004480814
-50.4269802933072	-12.3492846819378
-50.4169802933072	-12.3092332709632
-50.4069802933072	-12.2691461489338
-50.3969802933072	-12.2290232494598
-50.3869802933072	-12.1888645059843
-50.3769802933072	-12.1486698517832
-50.3669802933072	-12.1084392199643
-50.3569802933072	-12.0681725434673
-50.3469802933072	-12.0278697550628
-50.3369802933072	-11.9875307873517
-50.3269802933072	-11.9471555727653
-50.3169802933072	-11.906744043564
-50.3069802933072	-11.8662961318372
-50.2969802933072	-11.8258117695027
-50.2869802933072	-11.7852908883061
-50.2769802933072	-11.7447334198202
-50.2669802933072	-11.7041392954447
-50.2569802933072	-11.6635084464051
-50.2469802933072	-11.6228408037529
-50.2369802933072	-11.5821362983645
-50.2269802933072	-11.5413948609407
-50.2169802933072	-11.5006164220064
-50.2069802933072	-11.4598009119097
-50.1969802933072	-11.4189482608218
-50.1869802933072	-11.3780583987358
-50.1769802933072	-11.3371312554668
-50.1669802933072	-11.2961667606506
-50.1569802933072	-11.255164843744
-50.1469802933072	-11.2141254340235
-50.1369802933072	-11.173048460585
-50.1269802933072	-11.1319338523432
-50.1169802933072	-11.0907815380311
-50.1069802933072	-11.0495914461992
-50.0969802933072	-11.0083635052153
-50.0869802933072	-10.9670976432634
-50.0769802933072	-10.9257937883434
-50.0669802933072	-10.8844518682707
-50.0569802933072	-10.8430718106752
-50.0469802933072	-10.8016535430008
-50.0369802933072	-10.7601969925052
-50.0269802933072	-10.7187020862587
-50.0169802933072	-10.677168751144
-50.0069802933072	-10.6355969138554
-49.9969802933072	-10.5939865008983
-49.9869802933072	-10.5523374385888
-49.9769802933072	-10.5106496530523
-49.9669802933073	-10.4689230702239
-49.9569802933073	-10.4271576158471
-49.9469802933073	-10.3853532154734
-49.9369802933073	-10.3435097944618
-49.9269802933073	-10.3016272779777
-49.9169802933073	-10.2597055909929
-49.9069802933073	-10.2177446582847
-49.8969802933073	-10.1757444044349
-49.8869802933073	-10.1337047538299
-49.8769802933073	-10.0916256306595
-49.8669802933073	-10.0495069589164
-49.8569802933073	-10.0073486623955
-49.8469802933073	-9.96515066469352
-49.8369802933073	-9.92291288920811
-49.8269802933073	-9.8806352591372
-49.8169802933073	-9.83831769747845
-49.8069802933073	-9.7959601270285
-49.7969802933073	-9.75356247038241
-49.7869802933073	-9.71112464993295
-49.7769802933073	-9.66864658786987
-49.7669802933073	-9.62612820617934
-49.7569802933073	-9.58356942664323
-49.7469802933073	-9.54097017083848
-49.7369802933073	-9.49833036013631
-49.7269802933073	-9.45564991570169
-49.7169802933073	-9.41292875849256
-49.7069802933073	-9.37016680925922
-49.6969802933073	-9.32736398854357
-49.6869802933073	-9.28452021667845
-49.6769802933073	-9.24163541378699
-49.6669802933073	-9.19870949978187
-49.6569802933073	-9.15574239436464
-49.6469802933073	-9.11273401702498
-49.6369802933073	-9.0696842870401
-49.6269802933073	-9.02659312347397
-49.6169802933073	-8.98346044517655
-49.6069802933073	-8.94028617078316
-49.5969802933073	-8.89707021871383
-49.5869802933073	-8.85381250717243
-49.5769802933073	-8.81051295414605
-49.5669802933073	-8.76717147740423
-49.5569802933073	-8.72378799449831
-49.5469802933073	-8.68036242276064
-49.5369802933073	-8.63689467930384
-49.5269802933073	-8.59338468102008
-49.5169802933073	-8.5498323445804
-49.5069802933073	-8.50623758643391
-49.4969802933073	-8.46260032280706
-49.4869802933073	-8.41892046970285
-49.4769802933073	-8.37519794290021
-49.4669802933074	-8.33143265795313
-49.4569802933074	-8.28762453018994
